repeat,Method,K,Candidate_Pool_Size,Positive_Targets,Hits,Precision,Recall,Enrichment_Factor,Random_Expected_Hits,Random_Precision
1,RWR (STRING graph),20,25242,1184,15,0.75,0.01266891891891892,15.989442567567567,0.9381190080025354,0.046905950400126774
1,RWR (STRING graph),50,25242,1184,35,0.7,0.02956081081081081,14.923479729729728,2.345297520006339,0.046905950400126774
1,RWR (STRING graph),100,25242,1184,65,0.65,0.05489864864864865,13.857516891891892,4.690595040012678,0.046905950400126774
1,RWR (STRING graph),200,25242,1184,128,0.64,0.10810810810810811,13.644324324324325,9.381190080025355,0.046905950400126774
1,RWR (STRING graph),500,25242,1184,289,0.578,0.24408783783783783,12.322530405405404,23.45297520006339,0.046905950400126774
1,Random forest,10,25242,1184,2,0.2,0.0016891891891891893,4.263851351351351,0.4690595040012677,0.046905950400126774
1,Random forest,20,25242,1184,4,0.2,0.0033783783783783786,4.263851351351351,0.9381190080025354,0.046905950400126774
1,Random forest,50,25242,1184,14,0.28,0.011824324324324325,5.969391891891893,2.345297520006339,0.046905950400126774
1,Random forest,100,25242,1184,26,0.26,0.02195945945945946,5.543006756756757,4.690595040012678,0.046905950400126774
1,Random forest,200,25242,1184,48,0.24,0.04054054054054054,5.116621621621621,9.381190080025355,0.046905950400126774
1,Random forest,500,25242,1184,107,0.214,0.09037162162162163,4.562320945945946,23.45297520006339,0.046905950400126774
1,scTDA-GCN (dual attention + nnPU),10,25242,1184,5,0.5,0.004222972972972973,10.659628378378379,0.4690595040012677,0.046905950400126774
1,scTDA-GCN (dual attention + nnPU),20,25242,1184,8,0.4,0.006756756756756757,8.527702702702703,0.9381190080025354,0.046905950400126774
1,scTDA-GCN (dual attention + nnPU),50,25242,1184,22,0.44,0.018581081081081082,9.380472972972973,2.345297520006339,0.046905950400126774
1,scTDA-GCN (dual attention + nnPU),100,25242,1184,35,0.35,0.02956081081081081,7.461739864864864,4.690595040012678,0.046905950400126774
1,scTDA-GCN (dual attention + nnPU),200,25242,1184,62,0.31,0.052364864864864864,6.608969594594594,9.381190080025355,0.046905950400126774
1,scTDA-GCN (dual attention + nnPU),500,25242,1184,138,0.276,0.11655405405405406,5.884114864864865,23.45297520006339,0.046905950400126774
1,scTDA-GCN (equal fusion + nnPU),10,25242,1184,2,0.2,0.0016891891891891893,4.263851351351351,0.4690595040012677,0.046905950400126774
1,scTDA-GCN (equal fusion + nnPU),20,25242,1184,7,0.35,0.0059121621621621625,7.461739864864864,0.9381190080025354,0.046905950400126774
1,scTDA-GCN (equal fusion + nnPU),50,25242,1184,21,0.42,0.017736486486486486,8.954087837837838,2.345297520006339,0.046905950400126774
1,scTDA-GCN (equal fusion + nnPU),100,25242,1184,37,0.37,0.03125,7.888125,4.690595040012678,0.046905950400126774
1,scTDA-GCN (equal fusion + nnPU),200,25242,1184,46,0.23,0.03885135135135135,4.903429054054055,9.381190080025355,0.046905950400126774
1,scTDA-GCN (equal fusion + nnPU),500,25242,1184,66,0.132,0.05574324324324324,2.814141891891892,23.45297520006339,0.046905950400126774
1,scTDA-GCN (local attention + weighted BCE),10,25242,1184,0,0.0,0.0,0.0,0.4690595040012677,0.046905950400126774
1,scTDA-GCN (local attention + weighted BCE),20,25242,1184,6,0.3,0.005067567567567568,6.395777027027027,0.9381190080025354,0.046905950400126774
1,scTDA-GCN (local attention + weighted BCE),50,25242,1184,25,0.5,0.021114864864864864,10.659628378378379,2.345297520006339,0.046905950400126774
1,scTDA-GCN (local attention + weighted BCE),100,25242,1184,45,0.45,0.03800675675675676,9.59366554054054,4.690595040012678,0.046905950400126774
1,scTDA-GCN (local attention + weighted BCE),200,25242,1184,67,0.335,0.056587837837837836,7.141951013513514,9.381190080025355,0.046905950400126774
1,scTDA-GCN (local attention + weighted BCE),500,25242,1184,158,0.316,0.13344594594594594,6.736885135135135,23.45297520006339,0.046905950400126774
2,Logistic regression,10,25242,1184,1,0.1,0.0008445945945945946,2.1319256756756757,0.4690595040012677,0.046905950400126774
2,Logistic regression,20,25242,1184,3,0.15,0.002533783783783784,3.1978885135135133,0.9381190080025354,0.046905950400126774
2,Logistic regression,50,25242,1184,16,0.32,0.013513513513513514,6.822162162162162,2.345297520006339,0.046905950400126774
2,Logistic regression,100,25242,1184,32,0.32,0.02702702702702703,6.822162162162162,4.690595040012678,0.046905950400126774
2,Logistic regression,200,25242,1184,57,0.285,0.04814189189189189,6.075988175675675,9.381190080025355,0.046905950400126774
2,Logistic regression,500,25242,1184,103,0.206,0.08699324324324324,4.3917668918918915,23.45297520006339,0.046905950400126774
2,Network-degree logistic,10,25242,1184,10,1.0,0.008445945945945946,21.319256756756758,0.4690595040012677,0.046905950400126774
2,Network-degree logistic,20,25242,1184,15,0.75,0.01266891891891892,15.989442567567567,0.9381190080025354,0.046905950400126774
2,Network-degree logistic,50,25242,1184,38,0.76,0.03209459459459459,16.202635135135136,2.345297520006339,0.046905950400126774
2,Network-degree logistic,100,25242,1184,65,0.65,0.05489864864864865,13.857516891891892,4.690595040012678,0.046905950400126774
2,Network-degree logistic,200,25242,1184,112,0.56,0.0945945945945946,11.938783783783785,9.381190080025355,0.046905950400126774
2,Network-degree logistic,500,25242,1184,240,0.48,0.20270270270270271,10.233243243243242,23.45297520006339,0.046905950400126774
2,PPI-GAT + nnPU,10,25242,1184,2,0.2,0.0016891891891891893,4.263851351351351,0.4690595040012677,0.046905950400126774
2,PPI-GAT + nnPU,20,25242,1184,7,0.35,0.0059121621621621625,7.461739864864864,0.9381190080025354,0.046905950400126774
