Method,K,Hits_mean,Hits_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Enrichment_Factor_mean,Enrichment_Factor_std
PPI-GraphSAGE + nnPU,10,3.6666666666666665,0.5773502691896258,0.3666666666666667,0.057735026918962595,0.003096846846846847,0.0004876269165452921,7.817060810810811,1.2308678627436263
PPI-GraphSAGE + nnPU,20,8.0,1.0,0.39999999999999997,0.05000000000000001,0.006756756756756757,0.0008445945945945946,8.527702702702703,1.0659628378378379
PPI-GraphSAGE + nnPU,50,20.333333333333332,2.5166114784235836,0.4066666666666667,0.05033222956847168,0.017173423423423425,0.002125516451371268,8.669831081081082,1.0730457253102723
PPI-GraphSAGE + nnPU,100,35.333333333333336,1.5275252316519456,0.35333333333333333,0.01527525231651946,0.029842342342342343,0.0012901395537600895,7.532804054054054,0.325657026160122
PPI-GraphSAGE + nnPU,200,58.666666666666664,2.081665999466132,0.2933333333333333,0.010408329997330679,0.04954954954954955,0.0017581638509004504,6.253648648648649,0.22189785962214592
PPI-GraphSAGE + nnPU,500,124.33333333333333,2.081665999466134,0.24866666666666667,0.004163331998932266,0.10501126126126126,0.0017581638509004528,5.301388513513513,0.0887591438488587
RWR (STRING graph),10,7.333333333333333,0.5773502691896257,0.7333333333333334,0.05773502691896262,0.006193693693693694,0.000487626916545292,15.634121621621622,1.2308678627436274
RWR (STRING graph),20,14.333333333333334,0.5773502691896258,0.7166666666666667,0.028867513459481322,0.012105855855855857,0.00048762691654529204,15.278800675675674,0.615433931371814
RWR (STRING graph),50,34.0,1.0,0.68,0.01999999999999999,0.028716216216216218,0.0008445945945945955,14.497094594594595,0.42638513513513443
RWR (STRING graph),100,64.66666666666667,1.5275252316519485,0.6466666666666666,0.015275252316519494,0.054617117117117114,0.0012901395537600888,13.786452702702704,0.325657026160122
RWR (STRING graph),200,127.66666666666667,0.5773502691896278,0.6383333333333333,0.0028867513459481155,0.10782657657657657,0.0004876269165452971,13.60879222972973,0.06154339313718101
RWR (STRING graph),500,286.6666666666667,6.80685928555404,0.5733333333333334,0.013613718571107998,0.24211711711711711,0.0057490365587449755,12.22304054054054,0.29023436163167965
Random forest,10,2.3333333333333335,0.5773502691896257,0.2333333333333333,0.05773502691896256,0.001970720720720721,0.000487626916545292,4.974493243243243,1.2308678627436258
Random forest,20,5.333333333333333,1.5275252316519468,0.26666666666666666,0.07637626158259732,0.0045045045045045045,0.0012901395537600903,5.685135135135135,1.628285130800609
Random forest,50,13.0,1.0,0.26,0.020000000000000018,0.01097972972972973,0.0008445945945945946,5.543006756756757,0.42638513513513576
Random forest,100,26.0,0.0,0.26,0.0,0.02195945945945946,0.0,5.543006756756757,0.0
Random forest,200,52.333333333333336,4.041451884327381,0.26166666666666666,0.02020725942163692,0.04420045045045046,0.0034133884158170447,5.578538851351351,0.4308037519602698
