Node_ID,Gene_Symbol,Prediction_Score_Mean,STRING_Degree,Removal_Reason
9651,ITGA1,0.84449446,76,top-5%-STRING-degree
20696,SHC1,0.84377307,138,top-5%-STRING-degree
5600,CYP1A1,0.8428278,88,top-5%-STRING-degree
5541,CXCL11,0.8425625,71,top-5%-STRING-degree
3308,CAV1,0.8416983,140,top-5%-STRING-degree
7422,FGF8,0.8416048,79,top-5%-STRING-degree
10453,LCP2,0.8412361,73,top-5%-STRING-degree
5557,CXCR5,0.8412169,94,top-5%-STRING-degree
7421,FGF7,0.83986795,69,top-5%-STRING-degree
9481,IL7,0.83969176,98,top-5%-STRING-degree
12741,NCR1,0.83906585,72,top-5%-STRING-degree
20070,RPS9,0.8383787,353,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
3565,CCR8,0.8381917,67,top-5%-STRING-degree
9614,IRF7,0.8381697,93,top-5%-STRING-degree
22218,TBX21,0.8380559,82,top-5%-STRING-degree
3502,CCL17,0.8379282,66,top-5%-STRING-degree
19994,RPL37A,0.837527,214,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
9660,ITGA7,0.8374287,65,top-5%-STRING-degree
9659,ITGA6,0.83703244,79,top-5%-STRING-degree
11624,MAPK12,0.83664495,103,top-5%-STRING-degree
20397,SDHB,0.83647335,116,top-5%-STRING-degree
9177,IFIH1,0.8360934,105,top-5%-STRING-degree
3563,CCR6,0.83462924,93,top-5%-STRING-degree
21558,SPI1,0.83401155,67,top-5%-STRING-degree
14298,PLCG2,0.8324334,140,top-5%-STRING-degree
5505,CTTN,0.8322462,84,top-5%-STRING-degree
9341,IGLL5,0.8304294,65,top-5%-STRING-degree
9679,ITGB7,0.83009636,72,top-5%-STRING-degree
7404,FGF10,0.8288461,65,top-5%-STRING-degree
8092,GNA13,0.8274913,90,top-5%-STRING-degree
13960,PECAM1,0.8271392,107,top-5%-STRING-degree
7997,GJA1,0.82703435,72,top-5%-STRING-degree
6521,EIF4E,0.8259347,125,top-5%-STRING-degree
1574,AOX1,0.8258518,75,top-5%-STRING-degree
23971,VDAC1,0.82528293,119,top-5%-STRING-degree
24103,WASL,0.8249596,102,top-5%-STRING-degree
21455,SOX2,0.824082,136,top-5%-STRING-degree
15650,RHOA,0.82366407,274,top-5%-STRING-degree
22555,TLN2,0.82276106,78,top-5%-STRING-degree
7413,FGF17,0.82168883,66,top-5%-STRING-degree
23832,UQCRH,0.82102394,86,top-5%-STRING-degree
2472,BMP4,0.82012874,72,top-5%-STRING-degree
20050,RPS29,0.81967103,254,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
5619,CYP2C9,0.8187782,76,top-5%-STRING-degree
20399,SDHD,0.8187016,70,top-5%-STRING-degree
10477,LEF1,0.81822026,81,top-5%-STRING-degree
2469,BMP2,0.8171611,77,top-5%-STRING-degree
13999,PF4,0.816912,68,top-5%-STRING-degree
9676,ITGB4,0.81636345,90,top-5%-STRING-degree
7608,FOXO3,0.81624174,119,top-5%-STRING-degree
8097,GNAI3,0.81459314,149,top-5%-STRING-degree
2396,BDNF,0.81444585,127,top-5%-STRING-degree
23828,UQCRB,0.81440413,105,top-5%-STRING-degree
8821,HLA-A,0.81372356,81,top-5%-STRING-degree
23955,VAV1,0.8137042,85,top-5%-STRING-degree
8095,GNAI1,0.8135721,181,top-5%-STRING-degree
5614,CYP2A6,0.8132326,72,top-5%-STRING-degree
20083,RRAS,0.81286556,73,top-5%-STRING-degree
7607,FOXO1,0.81101036,146,top-5%-STRING-degree
20160,RUNX1,0.8108382,133,top-5%-STRING-degree
20398,SDHC,0.8105561,84,top-5%-STRING-degree
3650,CD68,0.8103733,77,top-5%-STRING-degree
3560,CCR3,0.8088831,82,top-5%-STRING-degree
929,ACTN1,0.8087343,67,top-5%-STRING-degree
12482,MX1,0.80865633,66,top-5%-STRING-degree
22199,TBK1,0.80864507,102,top-5%-STRING-degree
5555,CXCR3,0.8084426,98,top-5%-STRING-degree
5558,CXCR6,0.8080289,72,top-5%-STRING-degree
2246,B2M,0.8063884,97,top-5%-STRING-degree
7423,FGF9,0.8061164,65,top-5%-STRING-degree
1323,ALB,0.8061129,217,top-5%-STRING-degree
4526,COX5B,0.80518425,110,top-5%-STRING-degree
7565,FOS,0.80502117,165,top-5%-STRING-degree
14570,PPARGC1A,0.8049836,155,top-5%-STRING-degree
14555,POU5F1,0.80445206,105,top-5%-STRING-degree
7880,GCG,0.80351985,86,top-5%-STRING-degree
919,ACTB,0.8020366,385,top-5%-STRING-degree
3726,CDH2,0.8013827,88,top-5%-STRING-degree
23509,TTN,0.8009003,84,top-5%-STRING-degree
5601,CYP1A2,0.7991995,76,top-5%-STRING-degree
3180,CALM3,0.7987086,270,top-5%-STRING-degree
20797,SKP1,0.79867446,177,top-5%-STRING-degree
13314,NUP214,0.7965931,68,top-5%-STRING-degree
23647,UBE2D1,0.79623586,121,top-5%-STRING-degree
13381,OCLN,0.7948565,77,top-5%-STRING-degree
3651,CD69,0.79470074,71,top-5%-STRING-degree
12721,NCK1,0.7939593,97,top-5%-STRING-degree
3716,CDH1,0.79321826,241,top-5%-STRING-degree
21643,SQSTM1,0.7931186,143,top-5%-STRING-degree
21314,SNAP23,0.792998,66,top-5%-STRING-degree
1963,ARRB2,0.7919429,131,top-5%-STRING-degree
3819,CEBPA,0.7915355,78,top-5%-STRING-degree
8106,GNB1,0.7906806,232,top-5%-STRING-degree
9704,ITPR3,0.7904259,78,top-5%-STRING-degree
21806,STAT5A,0.7900266,128,top-5%-STRING-degree
20026,RPS10,0.78998744,211,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
12899,NFKBIA,0.7894398,132,top-5%-STRING-degree
3821,CEBPB,0.78869385,90,top-5%-STRING-degree
4537,COX7C,0.7880863,104,top-5%-STRING-degree
12643,NANOG,0.7867188,100,top-5%-STRING-degree
14952,PSMB2,0.7861946,71,top-5%-STRING-degree
1027,ADCY8,0.7860725,77,top-5%-STRING-degree
9708,ITSN1,0.78505325,66,top-5%-STRING-degree
21802,STAT1,0.7844217,251,top-5%-STRING-degree
12729,NCL,0.7842912,92,top-5%-STRING-degree
23101,TRAF2,0.78410226,114,top-5%-STRING-degree
20435,SEC61B,0.7832234,142,top-5%-STRING-degree
916,ACTA1,0.7830029,79,top-5%-STRING-degree
3506,CCL20,0.78299814,74,top-5%-STRING-degree
4642,CRK,0.78237116,108,top-5%-STRING-degree
4535,COX7B,0.7823569,78,top-5%-STRING-degree
6488,EIF2AK2,0.7817375,89,top-5%-STRING-degree
8100,GNAQ,0.7815235,206,top-5%-STRING-degree
9068,HSPA9,0.7805572,146,top-5%-STRING-degree
24276,XBP1,0.7804516,176,top-5%-STRING-degree
12734,NCOA3,0.779866,73,top-5%-STRING-degree
7842,GATA3,0.77986586,84,top-5%-STRING-degree
7767,GAD1,0.77962244,72,top-5%-STRING-degree
21807,STAT5B,0.77907526,111,top-5%-STRING-degree
4295,CLTC,0.77891576,110,top-5%-STRING-degree
14942,PSMA2,0.7788811,78,top-5%-STRING-degree
3193,CAMK2A,0.77723277,106,top-5%-STRING-degree
8098,GNAL,0.7771196,66,top-5%-STRING-degree
6410,EEF1D,0.7770282,91,top-5%-STRING-degree
9462,IL3,0.7768005,84,top-5%-STRING-degree
14296,PLCG1,0.7761675,168,top-5%-STRING-degree
23109,TRAF6,0.77537477,193,top-5%-STRING-degree
4529,COX6B1,0.7751068,92,top-5%-STRING-degree
9482,IL7R,0.77507293,109,top-5%-STRING-degree
9079,HSPD1,0.77459145,72,top-5%-STRING-degree
21210,SMAD2,0.7743324,136,top-5%-STRING-degree
1734,APOA1,0.77364147,92,top-5%-STRING-degree
8112,GNB5,0.7735066,121,top-5%-STRING-degree
11625,MAPK13,0.77349406,95,top-5%-STRING-degree
20436,SEC61G,0.77334285,118,top-5%-STRING-degree
4314,CMPK2,0.7730241,67,top-5%-STRING-degree
4612,CREB1,0.77259904,161,top-5%-STRING-degree
4531,COX6C,0.7713707,77,top-5%-STRING-degree
22554,TLN1,0.77109593,99,top-5%-STRING-degree
21733,SST,0.7704041,81,top-5%-STRING-degree
3779,CDKN1A,0.77009016,131,top-5%-STRING-degree
23087,TPT1,0.7699159,114,top-5%-STRING-degree
21803,STAT2,0.7698498,83,top-5%-STRING-degree
14617,PPP1CA,0.7697517,127,top-5%-STRING-degree
5516,CUL1,0.76961744,176,top-5%-STRING-degree
11367,LRRK2,0.76949435,78,top-5%-STRING-degree
8111,GNB4,0.76916814,91,top-5%-STRING-degree
20348,SCN5A,0.7676498,76,top-5%-STRING-degree
2401,BECN1,0.76509696,139,top-5%-STRING-degree
8096,GNAI2,0.7647999,156,top-5%-STRING-degree
8533,H6PD,0.76433504,81,top-5%-STRING-degree
4527,COX6A1,0.7636339,65,top-5%-STRING-degree
23376,TSC2,0.763476,87,top-5%-STRING-degree
3692,CDC42,0.7628931,286,top-5%-STRING-degree
15339,RAP1B,0.76286066,74,top-5%-STRING-degree
23966,VCP,0.7624432,177,top-5%-STRING-degree
9393,IKBKG,0.76236176,126,top-5%-STRING-degree
15258,RAB8A,0.7623468,104,top-5%-STRING-degree
20305,SCARB1,0.76205623,96,top-5%-STRING-degree
3515,CCL3,0.7614845,88,top-5%-STRING-degree
4523,COX4I1,0.76135314,114,top-5%-STRING-degree
20183,RYR2,0.75966465,76,top-5%-STRING-degree
4129,CHUK,0.7592112,127,top-5%-STRING-degree
21422,SOD2,0.758731,95,top-5%-STRING-degree
6915,FADD,0.75842994,71,top-5%-STRING-degree
6533,EIF5,0.75842845,92,top-5%-STRING-degree
8101,GNAS,0.75841874,147,top-5%-STRING-degree
8219,GPI,0.758381,100,top-5%-STRING-degree
21886,STUB1,0.7583086,100,top-5%-STRING-degree
6517,EIF4A1,0.75811857,136,top-5%-STRING-degree
21212,SMAD4,0.75811064,143,top-5%-STRING-degree
23648,UBE2D2,0.75794494,102,top-5%-STRING-degree
21897,STX1A,0.75786483,82,top-5%-STRING-degree
14619,PPP1CC,0.7574377,127,top-5%-STRING-degree
13146,NPY,0.7573689,75,top-5%-STRING-degree
22532,TJP1,0.7573631,107,top-5%-STRING-degree
3782,CDKN2A,0.75667024,138,top-5%-STRING-degree
6883,EZR,0.7555221,91,top-5%-STRING-degree
5547,CXCL2,0.7554208,74,top-5%-STRING-degree
20392,SDHA,0.75532144,133,top-5%-STRING-degree
11284,LRP5,0.75402963,71,top-5%-STRING-degree
15205,RAB1A,0.75393,72,top-5%-STRING-degree
1962,ARRB1,0.7537667,121,top-5%-STRING-degree
6003,DLG4,0.7532,173,top-5%-STRING-degree
23547,TUFM,0.75268734,204,top-5%-STRING-degree
7931,GFAP,0.7521356,66,top-5%-STRING-degree
6506,EIF3D,0.75163865,82,top-5%-STRING-degree
14618,PPP1CB,0.75142324,98,top-5%-STRING-degree
21438,SOS1,0.7513246,88,top-5%-STRING-degree
3315,CBL,0.7509396,134,top-5%-STRING-degree
12238,MRPL20,0.75079703,184,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
7512,FLNC,0.7501371,70,top-5%-STRING-degree
7743,GABARAPL1,0.74884576,87,top-5%-STRING-degree
21808,STAT6,0.7484817,79,top-5%-STRING-degree
24282,XIAP,0.74805015,85,top-5%-STRING-degree
20306,SCARB2,0.7480439,80,top-5%-STRING-degree
8901,HNRNPH1,0.74695194,92,top-5%-STRING-degree
1455,ANK2,0.7465158,79,top-5%-STRING-degree
23102,TRAF3,0.746066,99,top-5%-STRING-degree
1757,APOE,0.7456912,145,top-5%-STRING-degree
9610,IRF3,0.7445809,86,top-5%-STRING-degree
6516,EIF3M,0.7441042,91,top-5%-STRING-degree
6519,EIF4A3,0.743931,198,top-5%-STRING-degree
14288,PLCB1,0.74277246,97,top-5%-STRING-degree
23668,UBE2N,0.74252164,110,top-5%-STRING-degree
6312,DVL1,0.74226534,92,top-5%-STRING-degree
22276,TCP1,0.7419067,104,top-5%-STRING-degree
6663,EP300,0.7416846,344,top-5%-STRING-degree
11772,MDH2,0.7414199,75,top-5%-STRING-degree
14190,PINK1,0.7410283,96,top-5%-STRING-degree
14521,POMC,0.74040157,124,top-5%-STRING-degree
7742,GABARAP,0.7401036,79,top-5%-STRING-degree
24403,YWHAE,0.7399949,82,top-5%-STRING-degree
2072,ATF4,0.739721,70,top-5%-STRING-degree
21920,SUCLG1,0.73925775,101,top-5%-STRING-degree
1326,ALDH18A1,0.7387065,71,top-5%-STRING-degree
15365,RASA1,0.73798496,94,top-5%-STRING-degree
