Gene_Symbol,Score
KIAA0040,0.5547245769954947
GAPLINC,0.5506409784563749
FAM127A,0.5498865010395393
MYEOV2,0.5495746032546149
KARS,0.548085630038655
LIX1L,0.5444400312218771
WDR13,0.5438899382932663
AKNA,0.5437032280002912
RBP5,0.5405149588395977
ATPIF1,0.540013381221877
MAPK1IP1L,0.5399461507781538
SEPT10,0.5387612799294834
SNHG12,0.5370319353624953
CCDC80,0.5367887644039095
FAM210B,0.5362890799048272
RERG,0.5360858834965418
PTPRO,0.5353841559872344
OCEL1,0.5353355727246827
MFSD14B,0.5327883142853841
ABCA8,0.5323423011971196
ZNF800,0.5316495535558939
CCDC53,0.5314667800787503
MALAT1,0.5302080001888412
MARCH7,0.5295293733517793
GLT8D1,0.5289588105021513
ZDHHC7,0.5271629846092951
BRI3,0.5242663018494595
THSD1,0.5237238473213702
SEPW1,0.522345555003961
ZDHHC12,0.5221968542216788
ZNF22,0.5220479182077856
ADTRP,0.5189009312218771
EGFL6,0.5187088347140958
SFXN3,0.5182606493538648
TMEM167B,0.5181443812218771
C16ORF62,0.5178009067123142
ARMCX6,0.5177686019624024
SNHG15,0.5177536082376848
PLAC9,0.5175831263644975
SLC38A10,0.5175701987484724
PHLDA3,0.5174800948984981
TRABD,0.5171800952360054
H2AFV,0.5168595950881776
CCDC71L,0.5168506909257797
VOPP1,0.5168395216739674
ZBTB1,0.5161971989666924
PRSS23,0.5157352676263846
C8ORF4,0.5154323420774832
AOAH,0.5148588181520198
CTD-2336O2.1,0.5132831911863176
MTMR11,0.5129388854081742
PCNX,0.5128446007646408
C14ORF159,0.5128100156040544
TSHZ2,0.5114779502802591
ABHD14B,0.5114381929754046
RARS,0.5110696645890278
PQLC1,0.5108872367903053
MFSD12,0.5106923308596135
APOPT1,0.5096794947874677
MAMDC2,0.5094552342474681
LDHB,0.5074882291867788
NBEAL1,0.5071494430109453
NGFRAP1,0.5066687431872688
IL10RB-AS1,0.5060959754657236
SH3BGRL3,0.5053370417423841
KIAA1551,0.5051508514913081
SCML1,0.5043093430585079
FAM212A,0.5033683928324011
PLEKHF2,0.5023033335125654
TMIGD3,0.5022706359844445
H1F0,0.5004128662507652
TRIQK,0.5002813195991994
S100A5,0.5002177042700993
ZCCHC6,0.5001144812218772
ADIRF,0.4995153290370276
VIM-AS1,0.4993053852803519
HAPLN3,0.4988583212467976
RFTN1,0.49797240365896644
CECR5,0.497451082461494
CLECL1,0.4959659716577272
EMP1,0.49535520674293415
RP11-138A9.1,0.495233807736922
SNN,0.4945592009990117
TMEM120A,0.49349429275746337
KDELC2,0.4932550179633328
CCDC90B,0.49292346109389795
MLLT4,0.49212847132657395
ZBTB43,0.4920202499447722
WDFY1,0.4912140087857764
TMEM106A,0.49086691882465755
SERINC2,0.48979042024744357
DNASE1L1,0.48975277997952693
ZCCHC2,0.48809551458208655
MATN2,0.48806843788747534
CTSE,0.4874702390473848
CH17-340M24.3,0.4868390700749535
MMP24-AS1,0.4862372758868221
GCSAML,0.4862333050009735
CASC4,0.48584395331041946
EPB41L4A-AS1,0.48438975727357475
TMEM261,0.483711832077159
FLYWCH2,0.483671280900163
MXRA8,0.48306211666870535
MOB3B,0.482800587726439
SCARA5,0.48205184276192176
CCBL2,0.48195162657103746
RP11-347P5.1,0.4815958727094348
TMEM55A,0.4813152688431338
SSFA2,0.48101293688711255
UTP11L,0.48038095917668133
TXNDC15,0.4803657601371651
MKL2,0.47985198207761154
PIK3IP1,0.47980625784599923
SLC12A7,0.4790767830321818
HMBOX1,0.4785119218655891
C14ORF142,0.47794427848832816
HYI,0.47736131235154455
TSPAN2,0.4771637721610771
C4ORF48,0.47651838908033106
SEPT9,0.4765103553118224
ARHGEF40,0.4759272396697936
ANKRD12,0.4758112389835423
LSAMP,0.47570019575129335
CCDC25,0.4753629315578364
FAM192A,0.47535200497343144
RP11-382A20.3,0.474674087739363
KIAA0141,0.474153711379322
OSER1,0.4730058349936399
OLFML3,0.47206437001171386
TRIM47,0.4717872389691488
EBPL,0.470469873404642
ADGRL4,0.4701897474329352
RP11-108M9.4,0.4692546205113012
MIR155HG,0.4689379192088827
SLFN5,0.4688939794466009
CTA-29F11.1,0.46872485122187707
CST2,0.4681344649035889
LINC00152,0.4667447212218771
MARCH3,0.466431669048194
SPTY2D1,0.4648067784432813
FAM214B,0.4642561470003202
ZBTB10,0.46409555058351964
LRRC59,0.46398159896820335
TMEM183A,0.46359889597864135
TM2D3,0.4611877769919555
CPVL,0.46059686381340054
LBH,0.46052107938929054
AMD1,0.4604945812218771
TMX3,0.4596481993331359
GPBP1,0.45944737147785514
OLFML2A,0.4582554393305927
DSCR3,0.456727380464482
TTC17,0.45548498814662985
ITIH5,0.45529078977221704
RFWD2,0.4539887123010315
ZDHHC6,0.45370536847144716
JAGN1,0.4534277676861307
LUCAT1,0.45311590973501925
DUSP14,0.45235977820482137
EVA1C,0.4519502738962594
AES,0.45193759452710086
PHACTR2,0.4516020887731473
RP11-452F19.3,0.4510485687572703
TM7SF3,0.45101718288819975
DCANP1,0.45099447012088256
FAM173A,0.45045014676287154
SEPT7,0.45041242432520473
CPNE3,0.44993754289085064
TMEM2,0.44986568900454793
ST5,0.44949172122005976
SLC12A8,0.4489724706152886
RP11-138A9.2,0.44815589943475864
LARS,0.44689183811284805
CXORF38,0.44687433269701526
FBXO39,0.4466655595820514
TMEM53,0.446310662612819
MS4A10,0.44611009612991254
ZSWIM6,0.44572669220868577
TTC39C,0.44544766240095085
PPP2R4,0.44510680885933157
TMEM205,0.44506400544457086
RABGAP1L,0.4448873739142858
TMCO3,0.4441900524125766
SARS,0.4436418880181337
TMEM140,0.4435487621168499
ZNF667-AS1,0.4433034540670626
GUCD1,0.44004681992117045
FXYD6-FXYD2,0.4392939777191039
HERPUD2,0.43872495053092103
ABHD13,0.4386351463418136
EMP3,0.43778015437328677
CLEC4F,0.43765778966628616
RAB20,0.43739478504829676
WDFY2,0.43721595525521156
NHLRC3,0.4370142517083898
AHNAK2,0.43680954561965313
PSMB8-AS1,0.436702467346652
RNF10,0.436445409779015
CRISPLD2,0.4362886117636838
SSC5D,0.4355591951701378
HRCT1,0.4349916169648643
IGKC,0.43469303716919977
RBMS3,0.43405417156192394
PCNXL4,0.43374287866731903
APOL2,0.43208160096836223
SWAP70,0.43203881659250964
ZDHHC20,0.43140873345255676
TPSD1,0.4313752338193534
FAM65B,0.4312692825009759
GAPT,0.43051116044287635
C19ORF66,0.43047019244425627
MAPKAPK5-AS1,0.4298386771321229
OSR1,0.4294269737642411
ZNF677,0.42901273439465387
AC090498.1,0.428688952800935
ADPRH,0.42836705213608584
C16ORF13,0.4277349159750681
ITM2A,0.4276012671639353
ANXA2R,0.4272074024288709
SLC35A4,0.42712921210725635
AC093673.5,0.4269912212218771
SEPT1,0.4263860618618972
TREML4,0.42563420728433543
PRADC1,0.4252724783052668
C2ORF74,0.42477225073713537
FAM102B,0.42425842042205136
