Gene_Symbol,Score
SAA1,0.82697666
RP11-160E2.6,0.82680357
TMEM251,0.826558
COL16A1,0.82648104
C10ORF10,0.82646716
ATP6V1E2,0.8264254
ELF1,0.8262383
LCN2,0.8261916
AHSG,0.8261301
S100A4,0.82604903
LTBP1,0.82581204
PTGES,0.8258046
OAF,0.8256685
ITGA10,0.8256526
S100A16,0.82559747
VAV2,0.8255437
CUBN,0.8254843
TMEM160,0.8254205
ABI3BP,0.8252593
MS4A4A,0.82514906
CILP,0.82513297
SIGLEC15,0.8250567
IGFBP4,0.82502794
BGLAP,0.8250127
CLEC6A,0.82491463
DCANP1,0.8248297
KIR3DL3,0.8248091
ATP6V0D2,0.8243621
OLR1,0.8242113
TMEM14B,0.82401407
CCL25,0.8240055
SERPINB2,0.8239788
TCIRG1,0.82385004
PFKM,0.8237098
TMEM167A,0.8235757
LHFPL2,0.8235524
FCGR1B,0.82347125
C20ORF24,0.8234579
GLRX,0.82300556
APBB1IP,0.8229898
SERPINF2,0.8229144
ZFAS1,0.8228385
FSTL1,0.8227345
CNN1,0.8227027
CTD-3252C9.4,0.82266635
NEB,0.8224384
TNFRSF25,0.82241696
CCR10,0.8223785
ACTR3C,0.8221018
TMOD4,0.8220933
AC013461.1,0.8220569
SLFN11,0.82204694
RARRES1,0.82160616
TGFBR2,0.8214468
GSTO2,0.82128125
ADH7,0.8211705
CYP2A13,0.8208607
ADH6,0.82080156
NPL,0.82078886
EPO,0.8205431
C8ORF59,0.82031125
FAM96A,0.82030267
PVRL2,0.82024515
FGF20,0.8200976
IFI27L2,0.8200239
ANG,0.8198614
C8G,0.81976354
CLEC4C,0.81960106
THBS2,0.8195222
ARL5A,0.81904095
ABRACL,0.8190141
NCR3,0.81900406
TGM3,0.8189994
MYO18B,0.81894
RNASE3,0.8188594
APOL3,0.8188593
PAPPA,0.8187895
MYOC,0.8178816
ZNF331,0.817702
LILRA2,0.8175167
SELT,0.8172604
SEPT11,0.81702965
MYOCD,0.8169433
MESDC1,0.816871
METRNL,0.8167278
HMOX1,0.8167208
RP11-386I14.4,0.8166348
LDHAL6A,0.81656903
CR2,0.81640184
IGFBP2,0.8163829
CAP2,0.8163597
LY86,0.8161705
SNAI2,0.81586903
HLA-C,0.8158247
MSR1,0.81581897
BPI,0.8155674
AP1S3,0.815555
CLEC9A,0.8154839
OAS2,0.81548035
IDO2,0.81526804
BMP1,0.8148345
ATP5G1,0.81481236
ACKR1,0.81457996
CARD9,0.81439656
ABCA7,0.8139955
ZEB1,0.8139788
CTSE,0.81397134
LAMA5,0.8139645
GATA4,0.81387484
FAM20C,0.81376374
C4BPA,0.81354916
MS4A6A,0.8135179
FAM49A,0.81332695
DHRS7,0.8132718
C6,0.8130891
SMAD6,0.8129384
TWIST2,0.81290424
KITLG,0.8128721
LYSMD2,0.812636
MARCO,0.8125354
CARD18,0.8124919
GNLY,0.8124523
FAM162A,0.8119159
LTBP2,0.8118578
CCL16,0.81181335
PPIF,0.81178075
CSK,0.8117402
P3H1,0.81155646
WASF3,0.8115069
LIMS2,0.81147796
DBN1,0.81146324
STAB1,0.8114335
GH1,0.8112386
HVCN1,0.8111755
IRF4,0.8111701
CD2AP,0.8109204
C2,0.810915
XAF1,0.8106691
NDUFA4L2,0.81058997
IFITM1,0.8105693
MIDN,0.81047773
COMMD6,0.81045073
TSPAN2,0.81033945
IFIT1,0.8102374
ROBO4,0.8101695
FAM46A,0.8099472
SCO2,0.8098957
SPACA4,0.8098378
XCL2,0.8095586
LAT,0.8091915
PHACTR2,0.80914086
ATF3,0.80869865
ADAMTS5,0.80771905
LINC01272,0.80749637
PLXNA4,0.80738384
CD53,0.80699337
CYBRD1,0.8067398
GPC1,0.8066715
TRIL,0.80651367
NOXO1,0.8063696
PTMS,0.80615807
ACTR2,0.8057046
RNF103-CHMP3,0.8054923
NOX5,0.8054077
IBSP,0.8051357
AEBP1,0.80460805
HLA-B,0.8044381
MINOS1,0.8043877
SRPX2,0.80426264
STX11,0.80424565
CXCL3,0.80409175
TNFSF10,0.8040334
TSPAN9,0.8038719
TMEM255B,0.80386555
LCAT,0.80368555
TMEM173,0.8035922
SAMSN1,0.80356705
GPR146,0.8035161
TINAGL1,0.8034784
TLR10,0.803444
SRGN,0.80343187
DNM1,0.80340767
SPRR1A,0.80337524
RP11-1008C21.1,0.80289954
RIPK2,0.8028573
VWA5A,0.8028514
UGT1A1,0.8028328
TTYH3,0.8028138
GHRL,0.8022152
VPS35,0.802182
CXCL14,0.80173224
OAS3,0.80171746
SLC39A14,0.80163115
HCRT,0.8015828
PARVB,0.80128175
TLR6,0.80115145
A4GALT,0.80111206
CCK,0.80079854
ARPC4-TTLL3,0.800733
TNNT3,0.8006479
COX17,0.80058706
C19ORF53,0.800563
CSRP3,0.8005565
GPBAR1,0.80043685
UGT1A7,0.80040157
CXCL6,0.8003162
TNNI1,0.8002284
CSTA,0.8001412
NR4A3,0.800059
CCDC85B,0.8000127
FLVCR2,0.7995187
PRKG2,0.79945344
TNFRSF11A,0.79928195
C10ORF54,0.79914254
TLR1,0.7991118
ALDH3A1,0.7990641
COL8A1,0.79902965
TMPRSS2,0.7983332
KLK8,0.79830253
MYH14,0.7982696
CYTIP,0.79825133
DYSF,0.79818594
WDR90,0.7978488
PIBF1,0.79775584
GNG4,0.79764736
GLTSCR2,0.79755396
GPR34,0.7975427
TMEM51,0.7974445
HK2,0.79737127
STAC,0.79736197
SNCG,0.79696804
LBP,0.7969612
FKBP7,0.7967723
PLVAP,0.7965879
GLB1,0.79657346
HSPB3,0.7964113
EVI2B,0.79638064
SRPX,0.79605037
LMO2,0.7960373
