Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021::regulation of peptidyl-serine phosphorylation (GO:0033135),0.5371526654225702,1.2626960956313986,0.0025,0.0769286271042055,1.0,57/64,41.33%,CSF3;HCLS1;PTEN;CAV1;BDNF;TBK1;RIPK2;NCK1;DMTN;PAK1;NCK2;IL11;SFRP2;LIF;OSM;NTF3;PINK1;AXIN1;AVP;SH2D3C;STK4;WNT3A;PPM1F;PRKD2;CAMK1;TNKS1BP1;PARK7;MLXIPL;NTF4;SPTBN4;CREBL2;DDIT4;EIF4G1;IRGM;SH2D3A;RAPGEF3;FNIP2;PDCD10;PFN2;TCL1B;LATS1;HAX1;FNIP1;PAQR3;TENM1;DOCK7;TCL1A;AKAP9;SPRY2;TERF2IP;RASSF2;GPD1L;BCAR3;HRC;MAD2L2;INPP5J;INPP5K
prerank,GO_Biological_Process_2021::erythrocyte differentiation (GO:0030218),0.554896178563032,1.2623394028443964,0.014,0.0771708271053668,1.0,29/35,36.94%,RPS14;GATA1;HCLS1;TAL1;NCKAP1L;EPO;DMTN;HSPA9;TGFBR3;SLC25A5;IKZF1;ALAS2;AHSP;CEBPG;LYAR;PTPN2;ID2;SH2B3;KLF1;INHA;HIPK2;KMT2E;ZFPM1;ALAS1;CDK5RAP3;UFL1;ACIN1;ABCB10;UBA5
prerank,GO_Biological_Process_2021::glycoprotein catabolic process (GO:0006516),0.599610341373452,1.2623133782479516,0.0531328320802005,0.077145444098415,1.0,14/15,39.48%,CTSL;EDEM1;ADAMTS12;NEU4;EDEM2;FBXO17;MANBA;ADAMTS9;NGLY1;STT3B;FBXO27;FBXO2;FBXO6;FBXO44
prerank,GO_Biological_Process_2021::autophagy of nucleus (GO:0044804),0.5976208302137925,1.2615359449365748,0.05005005005005,0.0777652733610363,1.0,16/16,40.28%,ATG7;ATG12;WIPI1;ATG5;RB1CC1;ATG9B;ATG3;ULK1;ATG2A;ATG9A;ATG13;ULK2;WIPI2;WDR45;WDR45B;ATG2B
prerank,GO_Biological_Process_2021::regulation of early endosome to late endosome transport (GO:2000641),0.6165306539826144,1.261498594266805,0.0640766902119071,0.077750686408816,1.0,10/12,26.49%,EZR;DAB2;MSN;CHMP3;RDX;SNX12;SNX3;DNAJC13;RAB21;VPS11
prerank,GO_Biological_Process_2021::mitotic nuclear membrane reassembly (GO:0007084),0.5425465450456081,1.2612446624970193,0.007,0.0778749390942467,1.0,49/49,45.86%,CHMP4C;CCNB1;CHMP2B;CHMP7;CHMP3;SEC13;UBE2I;CHMP4B;EMD;CHMP4A;PPP2R1A;CHMP2A;SUMO1;KPNB1;IST1;VPS4A;LMNA;CHMP6;CCNB2;SIRT2;RAN;NUP107;BANF1;NUP98;SEH1L;PPP2R2A;RANGAP1;REEP3;NUP155;SPAST;NUP160;AHCTF1;ANKLE2;VRK1;NUP85;RCC1;NDC1;NUP93;CC2D1B;NUP37;NUP43;NUP205;NUP133;NUP35;POM121;NUP188;REEP4;LEMD2;LBR
prerank,GO_Biological_Process_2021::mitotic nuclear membrane organization (GO:0101024),0.5425465450456081,1.2612446624970193,0.007,0.0778749390942467,1.0,49/49,45.86%,CHMP4C;CCNB1;CHMP2B;CHMP7;CHMP3;SEC13;UBE2I;CHMP4B;EMD;CHMP4A;PPP2R1A;CHMP2A;SUMO1;KPNB1;IST1;VPS4A;LMNA;CHMP6;CCNB2;SIRT2;RAN;NUP107;BANF1;NUP98;SEH1L;PPP2R2A;RANGAP1;REEP3;NUP155;SPAST;NUP160;AHCTF1;ANKLE2;VRK1;NUP85;RCC1;NDC1;NUP93;CC2D1B;NUP37;NUP43;NUP205;NUP133;NUP35;POM121;NUP188;REEP4;LEMD2;LBR
prerank,GO_Biological_Process_2021::regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041),0.5671277932899558,1.261199928448696,0.0200100050025012,0.0778609829349206,1.0,18/27,20.20%,THBS1;FAS;HMOX1;TNFSF10;TRAF2;TMBIM1;FADD;GPX1;TNFAIP3;PMAIP1;TRADD;BRCA1;STX4;DDX3X;TMC8;SP100;CFLAR;ARHGEF2
prerank,GO_Biological_Process_2021::regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),0.5287817529398708,1.260945993564394,0.0005,0.0780197736042514,1.0,62/82,34.94%,UBA52;THBS1;ITGA3;ASPN;UBB;SMAD3;CAV1;EMILIN1;HTRA3;TGFBR2;SMAD6;TGFB1I1;SMAD2;CIDEA;TGFBR3;STUB1;SMAD4;NREP;BAMBI;DAB2;EP300;SNX6;SDCBP;PRDM16;VASN;LTBP4;SPRY1;UBC;SMURF1;IL17RD;ZNF703;LATS2;DKK3;ADAMTSL2;SMURF2;SPRED1;CD109;SKI;SNW1;GIPC1;SKIL;ZEB2;FLCN;STK11;PIN1;HIPK2;LATS1;BCL9L;STRAP;PEG10;PMEPA1;CDKN2B;SPRED2;CITED2;BCL9;NKX2-1;TRIM33;ING2;CDKN1C;SPRY2;RNF111;PPM1A
prerank,GO_Biological_Process_2021::limb morphogenesis (GO:0035108),0.5786110712162834,1.2609284932524658,0.0360180090045022,0.0779848365947235,1.0,16/21,30.49%,FGF8;MYH3;TBX5;TBX3;BMPR1B;LRP6;GLI3;PTCH1;MBNL1;SKI;SHH;TBX4;CYP26B1;TFAP2B;NIPBL;PCSK5
prerank,GO_Biological_Process_2021::peptide catabolic process (GO:0043171),0.6126914452159866,1.260901332722704,0.0673366834170854,0.0779603906302551,1.0,8/13,15.92%,GGT5;CHAC1;CHAC2;GGT7;CPQ;GGT1;CTSH;TPP1
prerank,GO_Biological_Process_2021::endothelial cell proliferation (GO:0001935),0.610664997769666,1.2608248327267244,0.0622177621675865,0.0779713288759705,1.0,12/14,30.88%,CD34;BMP4;HMOX1;NOX5;ERN1;PRKX;ANGPT4;NRARP;BMPER;DLG1;ITGB1BP1;THAP1
prerank,GO_Biological_Process_2021::endocardial cushion morphogenesis (GO:0003203),0.6254163755551142,1.2606150965117426,0.0744841469552088,0.0781090955221369,1.0,10/11,31.88%,TGFBR2;BMP4;BMP2;SOX9;HEY1;NOG;HEYL;MDM4;TBX2;GATA5
prerank,GO_Biological_Process_2021::negative regulation of leukocyte cell-cell adhesion (GO:1903038),0.6118943647327926,1.2605037456581796,0.0651955867602808,0.0781427828742567,1.0,13/13,38.84%,PTPN22;LAPTM5;IL4I1;FGL1;ASS1;TNFAIP8L2;PAG1;ADTRP;VTCN1;DUSP3;LAX1;MIA3;WNK1
prerank,GO_Biological_Process_2021::negative regulation of potassium ion transport (GO:0043267),0.633399866932801,1.2604485577882645,0.083375699034062,0.0781374487454624,1.0,10/10,36.69%,CAV3;CAV1;VIP;ACTN2;NEDD4L;BIN1;CASQ2;KCNE5;STK39;CAB39
prerank,GO_Biological_Process_2021::tRNA export from nucleus (GO:0006409),0.5566285119667015,1.2599231142890952,0.017008504252126,0.0785002723843548,1.0,33/33,44.41%,NUP214;RANBP2;SEC13;TPR;NUP62;RAE1;RAN;NUP210;NUP88;NUP107;NUP98;SSB;SEH1L;NUP155;NUP153;NUP50;NUP160;NUP85;NDC1;NUP93;AAAS;NUP58;NUP37;NUP54;NUP43;POM121C;NUP205;NUP133;NUP35;POM121;NUP188;NOL6;XPOT
prerank,GO_Biological_Process_2021::tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),0.5566285119667015,1.2599231142890952,0.017008504252126,0.0785002723843548,1.0,33/33,44.41%,NUP214;RANBP2;SEC13;TPR;NUP62;RAE1;RAN;NUP210;NUP88;NUP107;NUP98;SSB;SEH1L;NUP155;NUP153;NUP50;NUP160;NUP85;NDC1;NUP93;AAAS;NUP58;NUP37;NUP54;NUP43;POM121C;NUP205;NUP133;NUP35;POM121;NUP188;NOL6;XPOT
prerank,GO_Biological_Process_2021::heart morphogenesis (GO:0003007),0.5536151538359695,1.2596587937188646,0.0125,0.0786744459317046,1.0,26/37,26.85%,ACTC1;FGF8;BMP2;TTN;MYLK2;NKX2-5;SOX9;RYR2;TGFBR3;TBX3;HEY1;NOG;HES1;TCAP;HEYL;DLC1;SOX17;MESP2;MYBPC3;FLRT2;HEY2;ANKRD1;TBX1;MDM4;ZFPM1;NIPBL
prerank,GO_Biological_Process_2021::primary alcohol metabolic process (GO:0034308),0.5716068902388284,1.259594479114802,0.028,0.0786835152685495,1.0,24/24,42.90%,CYP1A1;ADH7;ADH6;CYP1A2;CYP1B1;CYP11A1;RBP4;CYP27C1;CYP2D6;LRAT;GDPD1;GDPD3;NAAA;DHRS3;ALDH3A2;DHRS9;RDH10;SDR16C5;RDH12;NAPEPLD;RETSAT;GDE1;RDH11;PECR
prerank,GO_Biological_Process_2021::negative regulation of oxidative stress-induced cell death (GO:1903202),0.5840645509146745,1.259372842758076,0.042,0.0788536500264781,1.0,17/19,34.95%,GATA4;LRRK2;SOD2;VNN1;PINK1;ATF4;PYCR1;PAGE4;PARK7;GPR37L1;FBXO7;MAPK7;GPR37;HTRA2;BAG5;NME5;REST
prerank,GO_Biological_Process_2021::regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882),0.6068233676524786,1.2593038401394288,0.0605605605605605,0.0788555598291604,1.0,10/14,18.03%,GSTM2;CALM3;RYR2;ANK2;CLIC2;SLC9A1;CALM2;GSTO1;SLC8A1;CASQ2
prerank,GO_Biological_Process_2021::negative regulation of mitotic cell cycle phase transition (GO:1901991),0.5436987647130975,1.2591406166367751,0.0045,0.0789350557092501,1.0,40/50,33.30%,PTEN;SLFN11;SKP1;PSMB2;FAM107A;PSMA2;CDKN1A;CUL1;CDKN2A;PSMA8;PSMB4;RB1;FHL1;KLF4;PKD2;PSMF1;ZFP36L1;PSMD5;PSMD9;GFI1B;KANK2;RGCC;PSME2;PSME1;PSME3;APC;RBL1;DLG1;PSME4;CDKN2C;DACT1;CDKN2B;FBXO5;RBL2;PRMT2;ZFP36L2;CDC73;CDKN2D;PSMD10;FBXL7
prerank,GO_Biological_Process_2021::positive regulation of protein localization to nucleus (GO:1900182),0.5397691063718072,1.2591266355105113,0.004,0.0788947981374458,1.0,48/53,41.13%,HCLS1;EIF2AK3;SMAD3;YAP1;CDH1;PARP9;HYAL2;LIF;WWTR1;FERMT2;TCP1;CCT8;CCT4;MAVS;CCT5;JUP;TRIM28;NGFR;CCT6A;DKC1;LIMK2;CCT3;CCT7;CCT2;BAG3;CARD10;PARK7;LAMTOR5;ZC3H12A;TPR;LARP7;DTX3L;SESN2;RAN;CDK5RAP3;RBM22;ZPR1;DMAP1;MEPCE;UBR5;ECT2;GTSE1;PYHIN1;MCRS1;NMD3;IPO5;KAT7;CHP2
prerank,GO_Biological_Process_2021::cAMP-mediated signaling (GO:0019933),0.5862912025980321,1.2591088727005464,0.0475237618809404,0.0788549281947593,1.0,17/19,33.63%,CAP2;SOX9;ADCYAP1;DEFB1;ADCY1;CAP1;ADCY2;RAPGEF3;MAPK7;PDE7B;RIMS2;KSR1;RAPGEF2;ADGRG6;GHRHR;GAL;PDE7A
prerank,GO_Biological_Process_2021::glycogen metabolic process (GO:0005977),0.5709687107446936,1.2590823058974991,0.032,0.0788271269083484,1.0,22/24,37.19%,PYGM;PER2;GYS1;PPP1R3C;PGM2;PRKAG2;PGM1;GYG2;NR1D1;PGM2L1;PHKA1;NHLRC1;GYS2;PYGL;STBD1;UGP2;PYGB;GBE1;AGL;GYG1;PHKG2;PHKB
