Robust_Candidate_Rank,Node_ID,Gene_Symbol,Prediction_Score_Mean,Prediction_Score_SD,Rank_Mean_Across_Seeds,Rank_SD_Across_Seeds,Top100_Frequency_Across_Seeds,Top500_Frequency_Across_Seeds,Clinical_Target_Label,Top_Cell_Type,Top_Cell_Type_Z,Attention_PPI_Mean,Attention_CellTypeSimilarity_Mean,Attention_Pathway_Mean,Score_Drop_Remove_PPI,Score_Drop_Remove_CellTypeSimilarity,Score_Drop_Remove_Pathway,Attention_PPI_SD,Attention_PPI_Q2.5,Attention_PPI_Q97.5,Attention_CellTypeSimilarity_SD,Attention_CellTypeSimilarity_Q2.5,Attention_CellTypeSimilarity_Q97.5,Attention_Pathway_SD,Attention_Pathway_Q2.5,Attention_Pathway_Q97.5,Score_Drop_Remove_PPI_SD,Score_Drop_Remove_PPI_Q2.5,Score_Drop_Remove_PPI_Q97.5,Score_Drop_Remove_CellTypeSimilarity_SD,Score_Drop_Remove_CellTypeSimilarity_Q2.5,Score_Drop_Remove_CellTypeSimilarity_Q97.5,Score_Drop_Remove_Pathway_SD,Score_Drop_Remove_Pathway_Q2.5,Score_Drop_Remove_Pathway_Q97.5,STRING_Degree,STRING_Weighted_Degree,Cell-type similarity_Degree,Cell-type similarity_Weighted_Degree,Pathway_Degree,Pathway_Weighted_Degree,Degree_Residualized_Score,STRING_Degree_Percentile,Is_Top5pct_STRING_Hub,Is_Ribosomal_or_Mitochondrial_Structural,Is_Canonical_Housekeeping_Panel,Robust_Eligibility,Residual_Score_Percentile,Rank_Stability_Percentile,Robustness_Score
11,23227,TREML1,0.9046887,0.06250772,273.8,302.88531016064667,0.3,0.9,0,pDC,3.291585214911146,0.2930867,0.5800604,0.12685283,0.27147642,0.11612773,-0.026560605,0.2877215,5.659405223923386e-05,0.8445614770054819,0.31464493,0.0327945140656083,0.9204032093286516,0.13180573,7.879696968302597e-05,0.378961979597807,0.24127929,6.520897150039673e-05,0.6025164663791657,0.27700117,-0.0809097960591316,0.6472805775702001,0.025769651,-0.0766451403498649,-7.360726594924917e-05,12,10.093999981880188,10,9.768162548542024,0,0.0,0.3518014751278665,0.7277205087704713,False,False,False,True,0.9658741375010391,0.9779699060603542,0.9524295452656081
12,9636,ISLR,0.8839365,0.04023015,359.0,202.6979142577556,0.1,0.8,0,Fibroblasts,3.741543517073982,0.19047844,0.64954185,0.15997973,0.20617525,-0.010664264,-0.017044425,0.17546414,0.0061567151702547,0.4575330674648285,0.2998571,0.0864672169089317,0.9485411003232004,0.19310758,0.0005203592736506,0.5414761602878572,0.21895795,-0.0020923614501953,0.5243384510278701,0.15581875,-0.1471628993749618,0.3118645809590817,0.01855604,-0.045172195136547,0.0011183366179466,0,0.0,7,6.999865710735321,0,0.0,0.7843599292986129,0.22875966414498297,False,False,False,True,0.9992102419153712,0.9929337434533212,0.9478385568210159
13,1737,APOA2,0.9100057,0.05928151,240.8,287.17311851912604,0.4,0.9,0,Epithelial,3.3287384727796367,0.26007882,0.59971124,0.14020991,0.2694443,0.12671772,-0.026394015,0.27459762,6.299192698122624e-06,0.8095354057848455,0.32349682,0.0389393812045455,0.9468333676457406,0.16358343,4.875049635302276e-05,0.4634364463388921,0.24657185,9.581446647644045e-06,0.602708050608635,0.29373485,-0.0861296281218528,0.6838943697512151,0.029362986,-0.0858553931117057,-4.9357116222381534e-05,53,46.28400009870529,8,7.853755831718445,0,0.0,0.29336865587032757,0.9348865242331034,False,False,False,True,0.949912710948541,0.9802976140992601,0.9450307589990855
14,7335,FCER1A,0.8895358,0.049021594,346.5,403.893619107254,0.0,0.9,0,Mast,2.8317790144517256,0.23354581,0.6344482,0.13200602,0.21953018,-0.024309242,-0.012512731,0.23798811,1.700074462860357e-05,0.6568601064383984,0.3094358,0.0788688622415065,0.9515218481421472,0.14872275,0.0006261451271711,0.4335085377097131,0.20803206,1.1837482452392578e-05,0.4906694419682026,0.15111499,-0.1908929079771041,0.284282884001732,0.028404739,-0.0706541895866394,0.0155938953161239,13,10.79799997806549,10,9.38694667816162,0,0.0,0.33211053277075187,0.739421398287472,False,False,False,True,0.9613849862831491,0.9568542688502785,0.9449060603541442
15,14540,POSTN,0.8886293,0.023169003,313.6,138.42302313319607,0.0,0.9,0,Endothelial,3.171339195533781,0.19846389,0.6484386,0.15309757,0.20186827,-0.015812289,-0.01839431,0.21173689,4.9434516303392686e-05,0.5721745230257512,0.3166472,0.0784026924520731,0.9701130464673042,0.1918336,0.0007649804349057,0.5420308470726014,0.21253628,3.103315830230713e-05,0.5043905436992645,0.13914715,-0.1322820916771888,0.2746866092085839,0.028971974,-0.0777036383748054,0.0034459516406059,34,27.787999868392944,12,11.96862530708313,0,0.0,0.2574729385346338,0.8819519494554826,False,False,False,True,0.9359464627151052,0.9984620500457229,0.9425887438689833
16,1399,AMBP,0.8824188,0.05482692,390.1,326.6100120939345,0.0,0.9,0,Epithelial,3.607886009651183,0.31063724,0.5647336,0.124629155,0.25780553,0.10955175,-0.032220088,0.30681303,6.842283642072289e-05,0.8922253236174584,0.31476906,0.0197846646420657,0.9269779548048972,0.12014325,0.0002672578164492,0.3202541917562485,0.23687325,8.139461278915406e-05,0.5910660922527313,0.28778103,-0.1124200478196144,0.656650834530592,0.029443333,-0.0878168687224388,-0.0003376021981239,36,30.468999922275543,7,6.915495753288269,0,0.0,0.2870220475110876,0.8902651924515753,False,False,False,True,0.9480837974894006,0.9736470197023859,0.9424536536702968
17,2957,C4A,0.91883487,0.047091927,203.0,231.78965560275643,0.2,0.9,0,CD8Tcm,2.654261946442459,0.11589122,0.7326081,0.15150067,0.21532726,0.01606833,-0.012587076,0.112462826,8.65567653321334e-10,0.3101651620119811,0.29846615,0.1073412385769188,0.9793057918548584,0.24827382,1.4249968726787188e-06,0.6824249133467677,0.20138736,0.0,0.4981772661209106,0.17955899,-0.1528627380728721,0.4005718849599363,0.028778484,-0.0761759370565414,0.0050266861915588,50,43.42699998617172,12,11.212311029434204,12,0.314823281019926,0.26027026372675655,0.9298985784354477,False,False,False,True,0.9374428464544019,0.9884861584504115,0.9408429628398038
18,7354,FCN3,0.8921417,0.03775205,298.7,155.59566546376257,0.1,0.9,0,Endothelial,3.7412802872392352,0.19686808,0.64710605,0.15602592,0.21214393,0.038449276,-0.024564724,0.1753023,0.0001707709820948,0.4668868057429791,0.28365734,0.1015681758522987,0.9282065257430075,0.17021577,0.0004855909821344,0.4867405757308007,0.21472251,0.0001127883791923,0.5315586805343628,0.21226594,-0.1214535698294639,0.4828867807984353,0.021208545,-0.0600420802831649,-0.0004313945770263,15,12.76499992609024,4,3.999802529811859,13,0.6888196896761656,0.2522489523338476,0.7601629395627234,False,False,False,True,0.93278743037659,0.9974228946712113,0.9407494388560977
19,14277,PLAC9,0.8952444,0.02947647,302.9,204.66473940460665,0.1,0.8,0,Fibroblasts,3.689593966050381,0.12818548,0.73658186,0.13523264,0.16825347,-0.07338105,-0.016472768,0.14180511,1.1666490006145836e-05,0.3445659033954144,0.3322594,0.0985801834613084,0.9977492570877076,0.25010636,0.0001722602519294,0.6670547246932985,0.19699214,-1.18255615234375e-05,0.4543457433581352,0.056575257,-0.148114375770092,0.0256389573216438,0.03505482,-0.0908676356077194,0.0052152916789054,1,0.7559999823570251,11,10.995384156703947,0,0.0,0.5175831263644975,0.4851400781444842,False,False,False,True,0.9837060437276581,0.9926012137334774,0.9400033252971984
20,11414,LTC4S,0.8770587,0.051566903,468.1,536.87127569527,0.0,0.9,0,Mast,3.6698685714819774,0.17028224,0.6906454,0.13907234,0.2034328,-0.06459342,-0.013513851,0.17477769,2.58370131334118e-07,0.4580885164439678,0.30122665,0.1153435118496418,0.9899407744407652,0.1828485,0.0007794699402438,0.514751522243023,0.19817953,2.60770320892334e-07,0.468293134868145,0.12004799,-0.2272860705852508,0.1688326954841614,0.039473914,-0.0955883294343948,0.0170066237449646,12,10.741999983787537,6,5.949139297008514,0,0.0,0.35659873348303583,0.7277205087704713,False,False,False,True,0.966663895585668,0.9237675617258292,0.9392738382242913
