Bootstrap_Replicate,ctMV_GCN_AUPRC,Degree_Logistic_AUPRC,ctMV_GCN_minus_Degree
365,0.6447251405507478,0.6308290615430431,0.013896079007704731
366,0.6484625796555092,0.6074648199747137,0.040997759680795554
367,0.6628199984817257,0.646043195547111,0.0167768029346147
368,0.6450648635498222,0.6310496252434613,0.014015238306360867
369,0.6543904989027948,0.6252670729615735,0.029123425941221304
370,0.6785987467273996,0.6458949774347084,0.032703769292691254
371,0.6291514534031181,0.621678421938369,0.007473031464749091
372,0.66467320786367,0.6379817288770844,0.026691478986585637
373,0.6549985749447531,0.6308837380201419,0.02411483692461125
374,0.6316504020418682,0.6208746770804389,0.010775724961429312
375,0.6516193733875296,0.6324837983048944,0.019135575082635192
376,0.662291813416489,0.6353661623503265,0.026925651066162515
377,0.6364843413475916,0.6168004686877787,0.019683872659812862
378,0.6210797795272952,0.622844727545861,-0.0017649480185657485
379,0.6633809832224812,0.6327028257831553,0.030678157439325893
380,0.649200051570095,0.6236574144585432,0.025542637111551802
381,0.6401405459494028,0.6218647617221816,0.018275784227221203
382,0.6305247521815888,0.6138126863841628,0.016712065797426012
383,0.6649807437155758,0.6214482329630532,0.043532510752522624
384,0.6559994372172876,0.6368701806836861,0.019129256533601535
385,0.6495765308930471,0.6134471549052919,0.03612937598775523
386,0.6337445423341911,0.6122617734977601,0.021482768836430965
387,0.6458000155271385,0.619931632901273,0.02586838262586555
388,0.6304356785016118,0.625291783483594,0.005143895018017708
389,0.6360672200058867,0.6295291457380814,0.006538074267805283
390,0.6335300115719997,0.6230698877866744,0.010460123785325348
391,0.6482964904339972,0.623499900330417,0.02479659010358015
392,0.658684983869985,0.6172438901625764,0.04144109370740856
393,0.6371468440319511,0.6248114054612767,0.012335438570674429
394,0.633953841590727,0.625238985384756,0.008714856205971011
395,0.6567249898184462,0.6287585531921164,0.027966436626329805
396,0.674384702888851,0.6418817738276968,0.03250292906115415
397,0.6575782415789813,0.6308457607933772,0.026732480785604085
398,0.641455069523179,0.6240644902361513,0.017390579287027697
399,0.6416723793229361,0.6338026167509024,0.007869762572033645
400,0.6538509944604051,0.6296727394502938,0.024178255010111283
401,0.6360957331304579,0.619657684946841,0.016438048183616827
402,0.6468951378771274,0.6339599695302908,0.012935168346836612
403,0.6654868363968789,0.6375117632553694,0.027975073141509488
404,0.6327674493724605,0.612543055491183,0.020224393881277503
405,0.640569246709772,0.6252815595694419,0.01528768714033013
406,0.6331120629397425,0.6353438671339734,-0.0022318041942308575
407,0.6437908305007193,0.6282183083478887,0.015572522152830559
408,0.6479770446330497,0.6110880521324866,0.0368889925005631
409,0.6523303527185703,0.6439429607710516,0.008387391947518696
410,0.6410129100448632,0.6281828127007784,0.012830097344084801
411,0.6539820624045666,0.6335818087069702,0.02040025369759635
412,0.6500661401637088,0.6377386819034815,0.012327458260227298
413,0.6435925208499048,0.6459634244371598,-0.002370903587255002
414,0.6511180496489647,0.6319745531884601,0.019143496460504617
415,0.6707804083942563,0.6304631223844427,0.04031728600981366
416,0.667728132107625,0.633033945036906,0.03469418707071903
417,0.6490280179125137,0.6210106768783259,0.028017341034187848
418,0.6354559458955761,0.6193577368650676,0.016098209030508515
419,0.6617774801791768,0.6294237679259226,0.03235371225325423
420,0.6533836988729612,0.6251737526390353,0.02820994623392592
421,0.6476755178233088,0.619021190417468,0.02865432740584084
422,0.6347532968458595,0.6235746787452962,0.011178618100563309
423,0.6579992518225148,0.6168627775737209,0.041136474248793964
424,0.6455664503512383,0.6330460224947303,0.012520427856507976
425,0.649912831241386,0.6331001059105595,0.01681272533082645
426,0.6428044190578738,0.6272324833977054,0.015571935660168346
427,0.6435310243403803,0.6241703627080321,0.019360661632348286
428,0.6483713339705762,0.6299736821359536,0.018397651834622608
429,0.6466103068323545,0.6242819420492421,0.022328364783112398
430,0.6734224560060471,0.6423615601104086,0.03106089589563854
431,0.639030175545184,0.6267251529092551,0.01230502263592892
432,0.6543742367799407,0.632027042401678,0.022347194378262714
433,0.649445725249153,0.6276604232232269,0.0217853020259261
434,0.656493008768251,0.6294273110925421,0.027065697675708877
435,0.6363918714886435,0.6272328910609231,0.009158980427720453
436,0.6507211190860525,0.6209228244899676,0.02979829459608485
437,0.6486324925427861,0.6121402015228699,0.036492291019916245
438,0.6644959791159258,0.6318246505500764,0.03267132856584942
439,0.6517353396414,0.6285031788631905,0.023232160778209443
440,0.6569235502129255,0.6285043356524812,0.028419214560444273
441,0.643811195525971,0.6312999377334659,0.01251125779250506
442,0.6344432950195836,0.6070856678344528,0.027357627185130795
443,0.6376581377338141,0.6435709597739503,-0.005912822040136212
444,0.6477799123221716,0.6366022841742235,0.011177628147948093
445,0.6462103473822959,0.6186651949288288,0.027545152453467114
446,0.6413385867658151,0.6289824343060925,0.012356152459722658
447,0.6361489446934449,0.6147550524302369,0.02139389226320798
448,0.6266790863828519,0.6096643895667183,0.017014696816133545
449,0.6562714674959964,0.6357018253722172,0.020569642123779208
450,0.6553998851262725,0.6337975409825881,0.021602344143684338
451,0.6359474201874863,0.632122227078784,0.0038251931087023294
452,0.6418051212463088,0.6336998140555598,0.00810530719074909
453,0.6562626772801293,0.6223582766629133,0.033904400617216
454,0.6485702260006171,0.6203471309959808,0.028223095004636267
455,0.6407841151686783,0.6175124642090476,0.023271650959630685
456,0.6485301590882427,0.6042386966172967,0.044291462470946064
457,0.6534576812061291,0.6380142609717383,0.015443420234390826
458,0.64016922939139,0.6318941233097942,0.008275106081595762
459,0.6551072198662632,0.6329737968690087,0.022133422997254515
460,0.6492202581330215,0.618983732838671,0.030236525294350503
461,0.6577052714374778,0.6303295287126746,0.027375742724803254
462,0.6358212012429727,0.6238659541221687,0.01195524712080398
463,0.6473763659246193,0.6439616363507138,0.0034147295739055394
464,0.6545546407594284,0.6276246772478435,0.02692996351158483
465,0.6547393338564472,0.6157793506584132,0.038959983198034065
466,0.6617362663453471,0.6518957502195751,0.00984051612577197
467,0.6325035179256625,0.6245248295556908,0.007978688369971731
468,0.6359686973377054,0.6216887652680684,0.014279932069637069
469,0.6554935986205758,0.6424046198119294,0.013088978808646345
470,0.6410940115747813,0.6352838152398902,0.0058101963348911045
471,0.6413260045724859,0.6204416697071398,0.020884334865346132
