Candidate_Rank,Node_ID,Gene_Symbol,Prediction_Score_Mean,Prediction_Score_SD,Rank_Mean_Across_Seeds,Rank_SD_Across_Seeds,Top100_Frequency_Across_Seeds,Top500_Frequency_Across_Seeds,Clinical_Target_Label,Top_Cell_Type,Top_Cell_Type_Z,Attention_PPI_Mean,Attention_CellTypeSimilarity_Mean,Attention_Pathway_Mean,Score_Drop_Remove_PPI,Score_Drop_Remove_CellTypeSimilarity,Score_Drop_Remove_Pathway,Attention_PPI_SD,Attention_PPI_Q2.5,Attention_PPI_Q97.5,Attention_CellTypeSimilarity_SD,Attention_CellTypeSimilarity_Q2.5,Attention_CellTypeSimilarity_Q97.5,Attention_Pathway_SD,Attention_Pathway_Q2.5,Attention_Pathway_Q97.5,Score_Drop_Remove_PPI_SD,Score_Drop_Remove_PPI_Q2.5,Score_Drop_Remove_PPI_Q97.5,Score_Drop_Remove_CellTypeSimilarity_SD,Score_Drop_Remove_CellTypeSimilarity_Q2.5,Score_Drop_Remove_CellTypeSimilarity_Q97.5,Score_Drop_Remove_Pathway_SD,Score_Drop_Remove_Pathway_Q2.5,Score_Drop_Remove_Pathway_Q97.5
37,5496,CTSG,0.9239806,0.04370774,157.7,123.5709872457483,0.3,1.0,0,Mast,3.7413594506799357,0.26459983,0.6197432,0.11565691,0.26534078,0.08255497,-0.013900369,0.2428624,1.8875552171948584e-05,0.6716928347945214,0.3038669,0.05888961032032967,0.9567462578415871,0.12142537,0.00017922120714501945,0.35643497742712504,0.22601199,1.7902255058288576e-05,0.5833661392331123,0.23852581,-0.07675091326236724,0.5766993105411531,0.012419724,-0.037426143884658813,-0.0001198425889015196
38,2154,ATP5J,0.92308676,0.10178981,473.6,985.2868956129815,0.7,0.8,0,Oligodendrocyte,1.7129576835460674,0.14135006,0.5329059,0.32574406,0.19061144,-0.014777547,0.19494858,0.21932739,1.768249458659266e-38,0.5848548129200937,0.30435547,0.06257538124918938,0.9553172543644906,0.307447,2.1831818427050674e-13,0.7691023200750351,0.24796939,0.0,0.6244663499295713,0.07798816,-0.1334119662642479,0.1275377675890923,0.2593923,-0.07929137647151947,0.5239962786436081
39,12773,NDUFA4,0.9229603,0.072719514,301.3,397.5530852044234,0.6,0.7,0,Oligodendrocyte,1.8593696304524143,0.15854776,0.5879439,0.25350833,0.16555652,-0.058769695,0.14761174,0.22573063,1.1200903985969867e-31,0.5800769329071046,0.28162715,0.09688711799681188,0.9573417723178864,0.24427395,9.479617568350363e-12,0.625458738207817,0.22202834,0.0,0.5738585472106934,0.06908041,-0.20255561918020248,-0.0068323835730552665,0.220701,-0.09987952560186386,0.46137191951274875
40,10555,LILRB2,0.9213208,0.0663872,204.3,254.91177122901,0.7,0.8,0,Monocyte,2.7474599602150493,0.24010105,0.59640366,0.1634953,0.28550705,0.05327893,-0.014471913,0.2440693,3.681069593727219e-10,0.7086709111928942,0.30278748,0.051583113335073,0.9625456646084786,0.17321375,0.0002147782189240388,0.5018467009067537,0.22447844,0.0,0.5572163254022598,0.18803364,-0.051219607889652255,0.4703919738531114,0.019604186,-0.054666049778461456,0.0006597101688385013
41,20003,RPL7,0.9211712,0.030310847,213.9,191.14302382131442,0.4,0.9,0,B,1.421660969769955,0.10634009,0.8289132,0.06474664,0.004334974,0.054644905,0.0017434179,0.18684734,0.0,0.4754027642309666,0.33234125,0.11707106605172157,1.0,0.19615464,2.3730421408897286e-25,0.48630467653274556,0.028236905,-0.02713569104671478,0.06099559813737872,0.21393362,-0.09411441683769226,0.4575169257819653,0.008448165,-0.006471122801303864,0.01917448043823243
42,23853,USMG5,0.9204834,0.0835082,361.2,548.3901287708717,0.5,0.8,0,Oligodendrocyte,1.8777418350672497,0.13398127,0.5435189,0.32249984,0.17591365,-0.06349456,0.16747548,0.2034151,3.176806342985701e-35,0.5375372134149076,0.3020726,0.08501126393675804,0.9665007114410401,0.29592496,1.919931943462905e-12,0.7233353838324547,0.22583802,0.0,0.5756789475679398,0.08200624,-0.22828977406024933,-0.0034894809126853935,0.24421437,-0.09615877419710159,0.4943120785057545
43,8313,GPX6,0.9203418,0.04579169,166.7,132.89515499905264,0.3,1.0,0,Epithelial,3.285963344266808,0.25659078,0.5901128,0.1532964,0.25853616,0.058573376,-0.01980812,0.27736413,7.335312332545918e-09,0.7953333579003813,0.31610557,0.04512497475370765,0.9699672415852547,0.16850536,0.00021703985912608915,0.47227202504873284,0.22168197,1.3411045074462891e-08,0.5409476310014725,0.18559991,-0.05531741231679917,0.4540405750274659,0.020651631,-0.059117966890335084,-0.0001094758510589598
44,4524,COX4I2,0.9199344,0.056694783,264.3,337.92407102450954,0.4,0.9,0,Fibroblasts,3.719699072080878,0.22173552,0.59219635,0.18606809,0.16448054,-0.05189067,0.022138316,0.3183208,2.446948832504612e-25,0.8451717108488085,0.32773325,0.03452109880745411,0.9807559013366699,0.20254801,6.427774590367364e-10,0.5408645451068879,0.18629196,0.0,0.4678720578551293,0.042817816,-0.12403001934289933,-0.008290344476699825,0.08560475,-0.12872921228408812,0.12559229582548143
45,3609,CD247,0.9191014,0.06837585,211.8,246.45432301611862,0.6,0.8,0,CD8Tem,2.4125830459448485,0.16986579,0.65190804,0.1782262,0.2942403,0.006263274,-0.013372046,0.14471248,1.73600320810105e-14,0.365688157081604,0.25918567,0.13266401849687098,0.9671291574835778,0.19238536,1.4072533821796185e-05,0.567643452435732,0.21370965,0.0,0.5382910773158074,0.111188255,-0.09381234794855117,0.2431983068585397,0.017759975,-0.04760342538356781,0.003363910317420961
46,2957,C4A,0.91883487,0.047091927,203.0,231.78965560275645,0.2,0.9,0,CD8Tcm,2.654261946442459,0.11589122,0.7326081,0.15150067,0.21532726,0.01606833,-0.012587076,0.112462826,8.65567653321334e-10,0.3101651620119811,0.29846615,0.10734123857691884,0.9793057918548584,0.24827382,1.4249968726787188e-06,0.6824249133467677,0.20138736,0.0,0.4981772661209106,0.17955899,-0.15286273807287215,0.4005718849599363,0.028778484,-0.07617593705654144,0.00502668619155884
47,23626,UBA52,0.9186193,0.039257973,224.1,211.58473479908707,0.2,0.9,0,B,1.4199227888261192,0.09832626,0.8296151,0.07205862,0.039079964,-0.020728875,-9.5665455e-06,0.16348203,0.0,0.3842131122946739,0.31991318,0.13819108670577407,0.9999784886837005,0.18773621,1.2869024574644551e-20,0.47759583443403264,0.081605345,-1.0579824447631835e-07,0.2117599964141846,0.14949274,-0.11677455604076385,0.298069128394127,0.024186457,-0.04952870458364487,0.024508233368396762
48,24419,ZAP70,0.918338,0.05005428,192.4,172.86487979536693,0.5,1.0,0,CD8Tem,2.05606391665349,0.3154543,0.5594218,0.12512395,0.26472065,0.07394572,-0.019923443,0.29051337,6.117826418516881e-08,0.7775365352630615,0.29852575,0.05085028260946274,0.9642134264111519,0.09668877,0.0006770787451387151,0.2515406429767609,0.2129027,1.0728836059570313e-07,0.564055785536766,0.19428043,-0.05491371303796768,0.46724716424942025,0.015502577,-0.044896040856838224,-0.0002492561936378475
49,23834,UQCRQ,0.9179595,0.09034601,423.0,686.1446235630244,0.6,0.7,0,Epithelial,1.8198101388701884,0.171869,0.54417115,0.2839599,0.18678455,-0.06242522,0.17212056,0.24835163,3.9693326228503093e-32,0.6457743138074876,0.28210354,0.07958307377994062,0.9460424974560738,0.26349837,7.734990729521552e-12,0.6470361948013306,0.24292465,0.0,0.6204347304999829,0.08780404,-0.2515197113156319,-0.0065151795744895925,0.24903041,-0.10974671691656113,0.4956427961587906
50,15278,RAC3,0.9172184,0.042492732,178.0,109.4085107394403,0.4,1.0,0,Epithelial,3.639619798271063,0.23965049,0.60336316,0.15698634,0.24025366,-0.04002134,-0.006816709,0.26781252,1.4492460346146574e-10,0.7485458947718145,0.30819535,0.06035493528470397,0.9631588801741601,0.16805282,9.622888974263333e-05,0.4865164674818517,0.2036844,2.6822090148925782e-08,0.47366187572479246,0.037974756,-0.08960087150335312,0.02859638929367067,0.032673247,-0.07048644572496414,0.0361947774887085
51,12358,MT-ATP6,0.91668594,0.058454465,279.8,466.2164018278779,0.4,0.9,0,Epithelial,1.3863706849883441,0.037380952,0.8888403,0.073778674,0.011576379,0.14172772,-0.0056568445,0.088974446,1.9618506600569877e-37,0.23334144093096265,0.30442697,0.22324914038181307,1.0,0.2159962,1.4001135830460325e-19,0.5434093892574312,0.02553771,-0.0012273177504539489,0.06770484894514085,0.2696983,-0.1883714020252228,0.4723051056265831,0.017537137,-0.04343749880790711,0.000548304617404938
52,3469,CCDC80,0.9163087,0.018532185,207.6,123.11620526965572,0.3,1.0,0,Fibroblasts,3.73132224973834,0.16654462,0.70655066,0.1269048,0.15927069,-0.06003865,-0.014477551,0.19908835,1.6291046990688125e-08,0.5033621914684773,0.3493613,0.08231749199330807,0.999565540254116,0.21458144,6.628773207921768e-05,0.5752870030701162,0.19402298,0.0,0.42650688961148264,0.03450548,-0.10496303290128708,9.092092514038485e-05,0.029426506,-0.07366613447666168,0.007052378356456756
53,12361,MT-CO2,0.91553247,0.044773676,238.9,263.7344834824938,0.4,0.9,0,M2,2.0617801381459744,0.050443657,0.87931013,0.070246175,0.032807134,-0.024101596,-0.005571055,0.10584413,2.3384336279236105e-40,0.2813082180917264,0.3056107,0.20861846171319484,1.0,0.20147194,8.282526917732507e-17,0.5100733101367952,0.06510706,0.0,0.16763657033443452,0.17128043,-0.1550406038761139,0.3394782796502115,0.017006833,-0.04208398163318634,0.00024307072162628186
