symbol,globalScore,maxClinicalTrialPhase,chembl
CNBP,0.2782474330957448,,
TPR,0.2782012356139092,,
ASXL1,0.2782012356139092,,
TENT5C,0.2782012356139092,,
WRN,0.2782012356139092,,
SDHD,0.2782012356139092,,
ETNK1,0.2781180465928117,,
BCL3,0.278108840650238,,
MN1,0.278108840650238,,
LYL1,0.278108840650238,,
BCL10,0.278108840650238,,
FES,0.278108840650238,,
SDHC,0.278108840650238,,
SBDS,0.278108840650238,,
PLAG1,0.2779567996044636,,
FANCE,0.2779240507228957,,
FANCF,0.2778316557592245,,
TLX3,0.2777392607955534,,
KAT6A,0.2777392607955534,,
TRAF7,0.2777392607955534,,
TAL2,0.2777392607955534,,
WAS,0.2776879302601805,,
PPP6C,0.2776468658318822,,
BMPR1A,0.277554470868211,1.0,
ZNF521,0.277554470868211,,
CCNB1IP1,0.277554470868211,,
BCL11B,0.277554470868211,,
ETV6,0.277554470868211,,
CARD11,0.2771848910135263,,
PHOX2B,0.2771848910135263,,
P2RY8,0.2771848910135263,,
SFRP4,0.2771848910135263,,
RPL10,0.2771848910135263,1.0,
EXT2,0.2771848910135263,,
ARNT,0.2771848910135263,,
TMEM127,0.2771848910135263,,
ZRSR2,0.2771848910135263,,
NAB2,0.2771848910135263,,
FEV,0.2771848910135263,,
TCL1A,0.2771848910135263,,
BRD3,0.2771848910135263,0.75,
ELK4,0.2771848910135263,,
MTCP1,0.2771848910135263,,
ZNF331,0.2771848910135263,,
CREB3L2,0.2771848910135263,,
HOXD11,0.2771848910135263,,
SSX1,0.2771848910135263,,
MPL,0.2771848910135263,1.0,
ELL,0.2771848910135263,,
FOXL2,0.2771848910135263,,
EPS15,0.2771848910135263,,
SH3GL1,0.2771848910135263,,
AFDN,0.2771848910135263,,
MPHOSPH6,0.2754357762534067,,
RGS7,0.2745778351885617,,
TOP2B,0.2729757871129505,1.0,0.4475046149085543
SETD1B,0.2725527919621185,,
MUC4,0.2723504824393833,,
NBEA,0.2721991837278693,,
DTNB,0.27098877518439,,
RFX7,0.2632644419895777,,
FAT3,0.2616920111711402,,
PDE4DIP,0.2591884053117962,,
NEK10,0.2590428593042282,,
ASPM,0.2581429320844642,,
MACC1,0.2516590822544807,,
PRKCB,0.2512775661199428,1.0,
CDH10,0.2509449661033667,,
TNC,0.2473489122718571,0.5,
ZEB1,0.2449955746756596,,
WNK2,0.244622140293778,,
SRGAP3,0.2434113492985186,,
CNBD1,0.2412535162525136,,
SS18,0.2412535162525136,,
COL3A1,0.2399380942880851,1.0,
FADS1,0.2357981313219401,,
MYH11,0.2355976380516763,,
DCC,0.2347597993584582,,
CNTNAP2,0.2346967076555887,,
LYN,0.2344014712353129,1.0,
MUC1,0.234032715420094,0.75,
ACSL6,0.2328353084513621,,
ELF3,0.2327452521823496,,
PABPC1,0.2323411205793739,,
NCOA1,0.2321423462238283,,
COL2A1,0.2321423462238283,1.0,
SRSF3,0.2320037537783215,,
CEP89,0.2319113588146503,,
ANK1,0.2313860625878402,,
LCP1,0.2313569890326233,,
HSP90AA1,0.2310105549854176,0.75,0.2279740491043579
NUP214,0.2309874091779386,,
NONO,0.2309874091779386,,
VAV1,0.2298324857097906,,
HSP90AB1,0.228881388067608,0.75,0.2279740491043579
IL2,0.2284324141052681,,
KNSTRN,0.2274620280085295,,
NSD1,0.226049411675068,,
HLA-A,0.2252069439106922,,
ZMYM3,0.2241699566829136,,
USP9X,0.2236642223398988,,
GPC5,0.2235089647490866,,
COL1A1,0.2234678617656863,1.0,
DCAF12L2,0.2232152458425504,,
JAML,0.222885390708954,,
PRDM2,0.2223279478605345,,
MUC6,0.22191169977312,,
ITGAV,0.2212622741002944,1.0,
PTPRD,0.2209948337355518,,
CANT1,0.2208679534429238,,
SETDB1,0.2206447392427945,,
EPHA3,0.2200339830920349,1.0,
KAT7,0.2198571734916001,,
PARP4,0.2194917411361453,,
AKAP9,0.2192173174169383,,
NACA,0.2190787249714315,,
PMS1,0.2187091451167468,,
RBM15,0.2182353113327008,,
FAM47C,0.2181547753347198,,
CLP1,0.2181547753347198,,
NCKIPSD,0.2181547753347198,,
FEN1,0.2173082829605217,,
CTNND1,0.2161505765809077,,
THRAP3,0.2149106854991541,,
ROCK1,0.2145253639892989,1.0,
MGMT,0.2142771006090384,,
KTN1,0.2132184953311912,,
TMPRSS2,0.2127294214090805,,
PAX8,0.2127026900396777,,
IGF2BP2,0.2123540723781125,,
ROBO2,0.2122885164301661,,
PAX7,0.2121388365890188,,
ALDH2,0.2121199171136537,1.0,
